dataset,file,outcome,method,cost_cents,time_s,verified,dest
Calcite,94,INCONCLUSIVE,exhausted,0.0,12.4,,
Calcite,96,INCONCLUSIVE,exhausted,0.0,7.7,,
Calcite,91,INCONCLUSIVE,exhausted,0.23,24.0,,
Calcite,97,INCONCLUSIVE,exhausted,0.0,8.8,,
Calcite,98,INCONCLUSIVE,exhausted,0.0,8.1,,
Calcite,99,PROVED,sql_equiv,0.0,4.6,yes,Bench/Calcite/Proven/99.lean
Calcite,95,ELAB_ERROR,,0.0,65.5,,
Calcite,62,INCONCLUSIVE,exhausted,2.4693,187.8,,
Calcite,92,INCONCLUSIVE,exhausted,1.4902,115.2,,
Calcite,74,INCONCLUSIVE,exhausted,3.126,229.9,,
Calcite,87,INCONCLUSIVE,exhausted,2.6586,207.0,,
